Year,Make,Model,Class,Length,Fuel Type,Hull Material,Hull Shape,Hull Warranty,Offered By
2023,Jeanneau,Sun Odyssey 490,Cruiser,49ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - Seattle
2023,Jeanneau,Sun Odyssey 440,Cruiser,44ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - Seattle
2023,Jeanneau,Sun Odyssey 440,Cruiser,44ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - San Diego
2023,Jeanneau,Sun Odyssey 440,Cruiser,44ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - San Diego
2023,Jeanneau,Yacht 65,Cruiser,65ft,Diesel,Fiberglass,,,Marine Servicenter - San Diego
2023,Jeanneau,Sun Odyssey 440,Cruiser,44ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - Seattle
2023,Jeanneau,380,Cruiser,38ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - Seattle
2023,Bali,CATSPACE,Catamaran,40ft,Diesel,Fiberglass,,,Cruising Yachts - San Diego
2023,Jeanneau,Sun Odyssey 440,Cruiser,44ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - Seattle
2023,Jeanneau,Sun Odyssey 349,Cruiser,34ft,Diesel,Fiberglass,Monohull,7 years,Marine Servicenter - Seattle
2023,Bavaria,C42,Racer/Cruiser,42ft,Diesel,Fiberglass,,,Cruising Yachts - Alameda
2023,Jeanneau,Sun Odyssey 410,Cruiser,41ft,Diesel,Fiberglass,,7 years,Marine Servicenter - Seattle
2023,Dufour,37,Racer/Cruiser,35.33ft,Diesel,Fiberglass,,,"Racine Riverside Marine, Inc."
2023,Dufour,470,Racer/Cruiser,48.75ft,Diesel,Fiberglass,,,"Racine Riverside Marine, Inc."
1984,Union,Polaris,Cutter,36ft,Diesel,Fiberglass,,,Rubicon Yachts
