,Basics.Year,Basics.Make,Basics.Model,Basics.Class,Basics.Length (ft),Basics.FuelType,Basics.HullMaterial,Basics.OfferedBy,Propulsion.EngineMake,Propulsion.TotalPower (hp),Propulsion.EngineType,Propulsion.FuelType,Specifications.Dimensions.LengthOverall (ft),Specifications.Dimensions.Beam (ft),Specifications.Accommodations.DoubleBerths,Specifications.Accommodations.Cabins,Specifications.Accommodations.Heads,Basics.HullShape,Basics.HullWarranty (years),Propulsion.EngineModel,Propulsion.EngineYear,Propulsion.EngineHours,Propulsion.DriveType,Propulsion.PropellerType,Specifications.Speed&Distance.CruisingSpeed (kn),Specifications.Speed&Distance.MaxSpeed (kn),Specifications.Dimensions.LengthOnDeck (ft),Specifications.Dimensions.MaxDra (ft),Specifications.Dimensions.CabinHeadroom (ft),Specifications.Dimensions.LengthAtWaterline (ft),Specifications.Miscellaneous.Windlass,Price,Propulsion.PropellerMaterial,Specifications.Dimensions.MaxBridgeClearance (ft),Specifications.Weights.DryWeight (Lb),Specifications.Accommodations.SingleBerths,Propulsion.FoldingPropeller,Features.ElectricalEquipment.ShorePowerInlet,Features.Electronics.Depthsounder,Features.Electronics.Radar,Features.Electronics.Plotter,Features.Electronics.Compas,Features.Electronics.Gps,Features.InsideEquipment.ElectricBilgePump,Features.InsideEquipment.Oven,Features.InsideEquipment.MarineHead,Features.InsideEquipment.Heating,Features.InsideEquipment.HotWater,Features.InsideEquipment.Refrigerator,Features.InsideEquipment.BatteryCharger,Features.OutsideEquipment.TeakCockpit,Features.OutsideEquipment.RadarReflector,Features.OutsideEquipment.Tender,Features.OutsideEquipment.CockpitCushions,Features.Rigging.SteeringWheel,Features.Sails.StormJib,Features.Sails.BattenedMainsail,Features.Sails.FurlingGenoa,Features.Sails.Trisail,Specifications.Accommodations.TwinBerths,Features.Electronics.Log-speedometer,Features.Electronics.WindSpeedAndDirection,Features.Electronics.Autopilot,Features.Electronics.Radio,Features.Electronics.CockpitSpeakers,Features.Electronics.Vhf,Features.InsideEquipment.BowThruster,Features.InsideEquipment.ManualBilgePump,Features.InsideEquipment.MicrowaveOven,Features.InsideEquipment.AirConditioning,Features.InsideEquipment.ElectricHead,Features.OutsideEquipment.CockpitShower,Features.OutsideEquipment.CockpitTable,Features.OutsideEquipment.SwimmingLadder,Features.Sails.FurlingMainsail,Features.Sails.AsymmetricSpinnaker,Features.Electronics.Repeater(s),Features.ElectricalEquipment.Generator,Features.ElectricalEquipment.Inverter,Features.Electronics.NavigationCenter,Features.InsideEquipment.DeepFreezer,Features.OutsideEquipment.OutboardEngineBrackets,Features.OutsideEquipment.Davit(s),Features.Sails.FullyBattenedMainsail,Specifications.Miscellaneous.ElectricalCircuit (V),Features.Electronics.CdPlayer,Features.Rigging.ElectricWinch,Features.Electronics.TvSet,Features.Electronics.DvdPlayer,Features.InsideEquipment.FreshWaterMaker,Features.Rigging.SpinnakerPole,Features.OutsideEquipment.TeakSidedecks,Features.AdditionalEquipment.RoadTrailer,Features.Sails.Spinnaker,Specifications.Miscellaneous.SeatingCapacity,Features.Electronics.RadarDetector,Features.Electronics.Computer,Features.Electronics.Vcr,Features.Sails.GennakerCruisingSpinnaker,Features.InsideEquipment.SeaWaterPump,Features.OutsideEquipment.SolarPanel,Features.OutsideEquipment.Liferaft,Features.Rigging.Tiller,Features.Sails.Genoa,Features.InsideEquipment.SternThruster,Features.InsideEquipment.Dishwasher,Features.InsideEquipment.WashingMachine,Features.OutsideEquipment.Gangway,Features.OutsideEquipment.HydraulicGangway,Specifications.Speed&Distance.Range (nm),Specifications.Dimensions.Freeboard (ft),Features.OutsideEquipment.WindGenerator,Features.InsideEquipment.Seakeeper,Features.InsideEquipment.AirCompressor,Features.InsideEquipment.ChemicalHead,Specifications.Miscellaneous.LiferaftCapacity,Features.Rigging.HydraulicWinch,Propulsion.RopeCutter,Specifications.Miscellaneous.DeadriseAtTransom (deg),Features.AdditionalEquipment.LaunchingTrailer,Features.AdditionalEquipment.BeachingLegs,Make-Model
0,2000,Adams,40,Sloop,74.15,Diesel,Fiberglass,Arne Schmidt Yachts International GmbH,Yanmar,230.0,Inboard,Diesel,74.15,18.31,4.0,5.0,4.0,Monohull,0,4JH57,2000.0,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,11.48,9.348779342722995,39.67258029978575,Electric Windlass,1847475,Bronze,63.21807909604506,52911.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Adams-40
1,1987,Admiral,40,Racer/Cruiser,37.0,Diesel,Fiberglass,Fraser Yacht Sales Ltd.,Volvo,30.0,Inboard,Diesel,37.58,11.58,2.79673590504451,2.961864406779661,1.0,Displacement,0,Penta,2019.0,1300.0,Direct Drive,2.0,6.5,10.30087209302326,43.39205882352945,6.5,9.348779342722995,29.42,Electric Windlass,59061,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Admiral-40
2,2022,Aeroyacht,85,Racer/Cruiser,43.42,Diesel,Fiberglass,Rodgers Yacht Sales LLC,Yanmar,45.0,Inboard,Diesel,43.42,13.08,2.0,2.0,2.0,Monohull,0,4JH,2022.0,100.0,Sail Drive,2.0,7.865502392344499,10.30087209302326,43.39205882352945,7.25,9.348779342722995,37.17,Electric Windlass,635955,Bronze,66.5,23578.5175,2.872521246458923,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Aeroyacht-85
3,2000,African Cats,GreenCat 445,Racer/Cruiser,42.0,Diesel,Fiberglass,Forbes Horton Yachts,Yanmar,43.0,Inboard,Diesel,42.0,12.75,2.79673590504451,2.961864406779661,2.0,Monohull,0,3JH2-CE,2016.507913669065,1606.0,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,6.92,9.348779342722995,34.25,Electric Windlass,129000,Bronze,63.21807909604506,23578.5175,2.872521246458923,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,African Cats-GreenCat 445
4,2007,Aventura,37,Sloop,50.0,Diesel,Fiberglass,Grabau International,Volvo Penta,75.0,Inboard,Diesel,50.0,14.04,3.0,3.0,3.0,Monohull,0,D2-75,2007.0,4000.0,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.86,9.348779342722995,43.11,Electric Windlass,380362,Bronze,63.21807909604506,28440.0,3.0,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,False,True,False,2.03960396039604,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False,False,True,12.0,True,True,False,False,True,True,True,False,True,8.62295081967213,False,False,False,True,False,False,True,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Aventura-37
5,2021,Aventura,37,Racer/Cruiser,47.57,Diesel,Fiberglass,Pierre-Andre JEANNE Yacht Broker - PAJ Yacht Broker,Yanmar,80.0,Inboard,Diesel,47.57,14.73,3.0,3.0,2.0,Monohull,0,D2-75,2007.0,289.0,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.86,9.348779342722995,44.55,Electric Windlass,749857,Bronze,63.21807909604506,28440.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.0,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Aventura-37
6,2009,Aventura,45,Racer/Cruiser,54.99,Diesel,Composite,Bach Yachting International,Yanmar,55.0,Inboard,Diesel,54.99,14.99,2.79673590504451,3.0,3.0,Monohull,0,Penta,2019.0,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,10.5,9.348779342722995,39.67258029978575,Electric Windlass,380362,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Aventura-45
7,1989,Aventura,45,Motorsailer,45.67,Diesel,Fiberglass,Yacht Basen,Volvo,55.0,Inboard,Diesel,45.67,13.94,2.79673590504451,3.0,2.0,Monohull,0,Penta,2009.0,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,10.5,9.348779342722995,39.67258029978575,Electric Windlass,144809,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,False,True,True,True,True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,2.03960396039604,True,True,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Aventura-45
8,2023,Baba,Cutter,Racer/Cruiser,45.54,Diesel,Fiberglass,Easy Sails Marine,Yanmar,57.0,Inboard,Diesel,45.54,13.35,3.0,3.0,2.0,Monohull,2,4JH57,2023.0,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.69,9.348779342722995,39.67258029978575,Electric Windlass,489037,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,True,True,False,True,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,2.03960396039604,False,True,True,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,83.00632911392405,False,True,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Baba-Cutter
9,1990,Balance,580,Racer/Cruiser,46.0,Diesel,Fiberglass,Ala Wai Yacht Brokerage,Yanmar,66.98479345284491,Inboard,Diesel,46.0,13.33,2.79673590504451,2.961864406779661,1.0,Monohull,0,4JH57,2016.507913669065,1121.918781725888,Sail Drive,3.0,7.865502392344499,10.30087209302326,43.39205882352945,8.956594153636974,9.348779342722995,39.67258029978575,Electric Windlass,99000,Bronze,63.21807909604506,23578.5175,2.872521246458923,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.03960396039604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,83.00632911392405,False,False,False,False,False,False,False,False,False,8.62295081967213,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1947.4,9.614166666666668,False,False,False,False,7.8125,False,False,22,False,False,Balance-580
